OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.995, 1.1, 0.883386611938
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, -15, 0, 0.0
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0, 0.08, 1.25059318542
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.08, 0.2, (1.3468+-1.20253*x)
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.2, 0.28, (1.24655+-0.701298*x)
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.28, 0.36, (0.772072+0.993262*x)
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.36, 0.44, (1.30241+-0.479887*x)
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.44, 0.52, (1.46475+-0.848845*x)
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.52, 0.6, (0.961587+0.118771*x)
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.6, 0.68, (1.27951+-0.411101*x)
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.68, 0.76, (0.997525+0.00358298*x)
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.76, 0.82, (0.548414+0.594519*x)
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.82, 0.86, (2.34707+-1.59896*x)
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.86, 0.9, (0.919904+0.0605315*x)
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.9, 0.935, (-0.271995+1.38486*x)
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.935, 0.965, (2.94986+-2.06097*x)
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.965, 0.995, (2.63748+-1.73726*x)
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.995, 1.1, 0.908905446529
3, iterativefit, central, 0, 0.0, 2.5, 100, 10000.0, -15, 0, 0.0
3, iterativefit, central, 0, 0.0, 2.5, 100, 10000.0, 0, 0.08, 1.3465410471
3, iterativefit, central, 0, 0.0, 2.5, 100, 10000.0, 0.08, 0.2, (1.47681+-1.62837*x)
3, iterativefit, central, 0, 0.0, 2.5, 100, 10000.0, 0.2, 0.28, (1.25333+-0.510943*x)
3, iterativefit, central, 0, 0.0, 2.5, 100, 10000.0, 0.28, 0.36, (1.11512+-0.017345*x)
3, iterativefit, central, 0, 0.0, 2.5, 100, 10000.0, 0.36, 0.44, (1.29887+-0.527775*x)
3, iterativefit, central, 0, 0.0, 2.5, 100, 10000.0, 0.44, 0.52, (1.33952+-0.620165*x)
3, iterativefit, central, 0, 0.0, 2.5, 100, 10000.0, 0.52, 0.6, (0.798731+0.419822*x)
3, iterativefit, central, 0, 0.0, 2.5, 100, 10000.0, 0.6, 0.68, (1.36043+-0.516337*x)
3, iterativefit, central, 0, 0.0, 2.5, 100, 10000.0, 0.68, 0.76, (1.16132+-0.223536*x)
3, iterativefit, central, 0, 0.0, 2.5, 100, 10000.0, 0.76, 0.82, (1.02742+-0.0473469*x)
3, iterativefit, central, 0, 0.0, 2.5, 100, 10000.0, 0.82, 0.86, (1.19336+-0.249714*x)
3, iterativefit, central, 0, 0.0, 2.5, 100, 10000.0, 0.86, 0.9, (1.16217+-0.213444*x)
3, iterativefit, central, 0, 0.0, 2.5, 100, 10000.0, 0.9, 0.935, (0.898693+0.0793048*x)
3, iterativefit, central, 0, 0.0, 2.5, 100, 10000.0, 0.935, 0.965, (1.13107+-0.169228*x)
3, iterativefit, central, 0, 0.0, 2.5, 100, 10000.0, 0.965, 0.995, (3.31963+-2.43717*x)
3, iterativefit, central, 0, 0.0, 2.5, 100, 10000.0, 0.995, 1.1, 0.894650816917
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, -15, 0, 0.0
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0, 0.0075, 0.794679045677
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.0075, 0.0225, (0.681146+15.1377*x)
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.0225, 0.0375, (0.916481+4.67842*x)
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.0375, 0.0525, (1.10302+-0.295901*x)
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.0525, 0.0675, (1.21286+-2.38814*x)
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.0675, 0.0825, (0.776291+4.07956*x)
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.0825, 0.0975, (0.868949+2.95643*x)
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.0975, 0.1125, (0.701777+4.67101*x)
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.1125, 0.14, (1.20826+0.168956*x)
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.14, 0.2, (1.25624+-0.173799*x)
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.2, 0.28, (0.95801+1.31737*x)
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.28, 0.665, (1.28197+0.160372*x)
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.665, 1.1, 1.38861715794
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, -15, 0, 0.0
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0, 0.0075, 0.817796170712
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.0075, 0.0225, (0.722993+12.6404*x)
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.0225, 0.0375, (0.938508+3.06196*x)
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.0375, 0.0525, (1.08783+-0.91993*x)
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.0525, 0.0675, (1.24834+-3.97733*x)
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.0675, 0.0825, (0.499858+7.11132*x)
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.0825, 0.0975, (0.873167+2.58637*x)
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.0975, 0.1125, (0.535192+6.05278*x)
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.1125, 0.14, (1.27542+-0.527048*x)
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.14, 0.2, (1.00492+1.40513*x)
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.2, 0.28, (1.1673+0.593217*x)
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.28, 0.665, (1.27224+0.218417*x)
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.665, 1.1, 1.41749155521
3, iterativefit, central, 2, 1.6, 2.5, 20, 30, -15, 0, 0.0
3, iterativefit, central, 2, 1.6, 2.5, 20, 30, 0, 0.0075, 1.15416443348
3, iterativefit, central, 2, 1.6, 2.5, 20, 30, 0.0075, 0.0225, (1.17098+-2.24271*x)
3, iterativefit, central, 2, 1.6, 2.5, 20, 30, 0.0225, 0.0375, (1.41158+-12.9357*x)
3, iterativefit, central, 2, 1.6, 2.5, 20, 30, 0.0375, 0.0525, (1.2164+-7.73093*x)
3, iterativefit, central, 2, 1.6, 2.5, 20, 30, 0.0525, 0.0675, (0.893952+-1.58912*x)
3, iterativefit, central, 2, 1.6, 2.5, 20, 30, 0.0675, 0.0825, (0.267521+7.69135*x)
3, iterativefit, central, 2, 1.6, 2.5, 20, 30, 0.0825, 0.0975, (0.344699+6.75586*x)
3, iterativefit, central, 2, 1.6, 2.5, 20, 30, 0.0975, 0.1125, (0.60995+4.03533*x)
3, iterativefit, central, 2, 1.6, 2.5, 20, 30, 0.1125, 0.14, (0.522834+4.8097*x)
3, iterativefit, central, 2, 1.6, 2.5, 20, 30, 0.14, 0.2, (0.981482+1.53364*x)
3, iterativefit, central, 2, 1.6, 2.5, 20, 30, 0.2, 0.28, (0.794064+2.47073*x)
3, iterativefit, central, 2, 1.6, 2.5, 20, 30, 0.28, 0.665, (1.16883+1.13228*x)
3, iterativefit, central, 2, 1.6, 2.5, 20, 30, 0.665, 1.1, 1.92179644108
3, iterativefit, central, 2, 0.0, 0.8, 30, 40, -15, 0, 0.0
3, iterativefit, central, 2, 0.0, 0.8, 30, 40, 0, 0.0075, 0.820800483227
3, iterativefit, central, 2, 0.0, 0.8, 30, 40, 0.0075, 0.0225, (0.660078+21.4296*x)
3, iterativefit, central, 2, 0.0, 0.8, 30, 40, 0.0225, 0.0375, (1.04318+4.40305*x)
3, iterativefit, central, 2, 0.0, 0.8, 30, 40, 0.0375, 0.0525, (1.23473+-0.705028*x)
3, iterativefit, central, 2, 0.0, 0.8, 30, 40, 0.0525, 0.0675, (0.736879+8.77783*x)
3, iterativefit, central, 2, 0.0, 0.8, 30, 40, 0.0675, 0.0825, (1.83537+-7.49605*x)
3, iterativefit, central, 2, 0.0, 0.8, 30, 40, 0.0825, 0.0975, (0.768478+5.43592*x)
3, iterativefit, central, 2, 0.0, 0.8, 30, 40, 0.0975, 0.1125, (-0.588654+19.3552*x)
3, iterativefit, central, 2, 0.0, 0.8, 30, 40, 0.1125, 0.14, (3.07706+-13.2289*x)
3, iterativefit, central, 2, 0.0, 0.8, 30, 40, 0.14, 0.2, (0.723801+3.58009*x)
3, iterativefit, central, 2, 0.0, 0.8, 30, 40, 0.2, 0.28, (1.22431+1.07756*x)
3, iterativefit, central, 2, 0.0, 0.8, 30, 40, 0.28, 0.665, (1.43548+0.323374*x)
3, iterativefit, central, 2, 0.0, 0.8, 30, 40, 0.665, 1.1, 1.65052235126
3, iterativefit, central, 2, 0.8, 1.6, 30, 40, -15, 0, 0.0
3, iterativefit, central, 2, 0.8, 1.6, 30, 40, 0, 0.0075, 0.814790725708
3, iterativefit, central, 2, 0.8, 1.6, 30, 40, 0.0075, 0.0225, (0.666283+19.801*x)
3, iterativefit, central, 2, 0.8, 1.6, 30, 40, 0.0225, 0.0375, (1.03867+3.25062*x)
3, iterativefit, central, 2, 0.8, 1.6, 30, 40, 0.0375, 0.0525, (1.20335+-1.14093*x)
3, iterativefit, central, 2, 0.8, 1.6, 30, 40, 0.0525, 0.0675, (1.20223+-1.11967*x)
3, iterativefit, central, 2, 0.8, 1.6, 30, 40, 0.0675, 0.0825, (0.715046+6.09793*x)
3, iterativefit, central, 2, 0.8, 1.6, 30, 40, 0.0825, 0.0975, (1.03149+2.26227*x)
3, iterativefit, central, 2, 0.8, 1.6, 30, 40, 0.0975, 0.1125, (0.639329+6.2844*x)
3, iterativefit, central, 2, 0.8, 1.6, 30, 40, 0.1125, 0.14, (1.8781+-4.7269*x)
3, iterativefit, central, 2, 0.8, 1.6, 30, 40, 0.14, 0.2, (1.02053+1.39862*x)
3, iterativefit, central, 2, 0.8, 1.6, 30, 40, 0.2, 0.28, (0.296301+5.01975*x)
3, iterativefit, central, 2, 0.8, 1.6, 30, 40, 0.28, 0.665, (1.97831+-0.987439*x)
3, iterativefit, central, 2, 0.8, 1.6, 30, 40, 0.665, 1.1, 1.32166779041
3, iterativefit, central, 2, 1.6, 2.5, 30, 40, -15, 0, 0.0
3, iterativefit, central, 2, 1.6, 2.5, 30, 40, 0, 0.0075, 0.946594238281
3, iterativefit, central, 2, 1.6, 2.5, 30, 40, 0.0075, 0.0225, (0.902403+5.89217*x)
3, iterativefit, central, 2, 1.6, 2.5, 30, 40, 0.0225, 0.0375, (1.07236+-1.66146*x)
3, iterativefit, central, 2, 1.6, 2.5, 30, 40, 0.0375, 0.0525, (1.30257+-7.80028*x)
3, iterativefit, central, 2, 1.6, 2.5, 30, 40, 0.0525, 0.0675, (0.878491+0.277321*x)
3, iterativefit, central, 2, 1.6, 2.5, 30, 40, 0.0675, 0.0825, (0.806107+1.34969*x)
3, iterativefit, central, 2, 1.6, 2.5, 30, 40, 0.0825, 0.0975, (0.659281+3.12939*x)
3, iterativefit, central, 2, 1.6, 2.5, 30, 40, 0.0975, 0.1125, (0.598479+3.75301*x)
3, iterativefit, central, 2, 1.6, 2.5, 30, 40, 0.1125, 0.14, (0.415502+5.37947*x)
3, iterativefit, central, 2, 1.6, 2.5, 30, 40, 0.14, 0.2, (1.17403+-0.0385662*x)
3, iterativefit, central, 2, 1.6, 2.5, 30, 40, 0.2, 0.28, (0.740341+2.12986*x)
3, iterativefit, central, 2, 1.6, 2.5, 30, 40, 0.28, 0.665, (0.971909+1.30283*x)
3, iterativefit, central, 2, 1.6, 2.5, 30, 40, 0.665, 1.1, 1.8382922411
3, iterativefit, central, 2, 0.0, 0.8, 40, 60, -15, 0, 0.0
3, iterativefit, central, 2, 0.0, 0.8, 40, 60, 0, 0.0075, 0.851231276989
3, iterativefit, central, 2, 0.0, 0.8, 40, 60, 0.0075, 0.0225, (0.659055+25.6235*x)
3, iterativefit, central, 2, 0.0, 0.8, 40, 60, 0.0225, 0.0375, (1.0782+6.99491*x)
3, iterativefit, central, 2, 0.0, 0.8, 40, 60, 0.0375, 0.0525, (1.17015+4.54297*x)
3, iterativefit, central, 2, 0.0, 0.8, 40, 60, 0.0525, 0.0675, (1.28855+2.28767*x)
3, iterativefit, central, 2, 0.0, 0.8, 40, 60, 0.0675, 0.0825, (1.91009+-6.92041*x)
3, iterativefit, central, 2, 0.0, 0.8, 40, 60, 0.0825, 0.0975, (2.36749+-12.4646*x)
3, iterativefit, central, 2, 0.0, 0.8, 40, 60, 0.0975, 0.1125, (-2.77743+40.3038*x)
3, iterativefit, central, 2, 0.0, 0.8, 40, 60, 0.1125, 0.14, (2.68343+-8.23717*x)
3, iterativefit, central, 2, 0.0, 0.8, 40, 60, 0.14, 0.2, (1.55178+-0.153923*x)
3, iterativefit, central, 2, 0.0, 0.8, 40, 60, 0.2, 0.28, (1.86091+-1.69957*x)
3, iterativefit, central, 2, 0.0, 0.8, 40, 60, 0.28, 0.665, (1.04294+1.22173*x)
3, iterativefit, central, 2, 0.0, 0.8, 40, 60, 0.665, 1.1, 1.85539186001
3, iterativefit, central, 2, 0.8, 1.6, 40, 60, -15, 0, 0.0
3, iterativefit, central, 2, 0.8, 1.6, 40, 60, 0, 0.0075, 0.84618973732
3, iterativefit, central, 2, 0.8, 1.6, 40, 60, 0.0075, 0.0225, (0.676282+22.6544*x)
3, iterativefit, central, 2, 0.8, 1.6, 40, 60, 0.0225, 0.0375, (0.996365+8.42844*x)
3, iterativefit, central, 2, 0.8, 1.6, 40, 60, 0.0375, 0.0525, (1.28259+0.795857*x)
3, iterativefit, central, 2, 0.8, 1.6, 40, 60, 0.0525, 0.0675, (1.57663+-4.8049*x)
3, iterativefit, central, 2, 0.8, 1.6, 40, 60, 0.0675, 0.0825, (1.1361+1.7214*x)
3, iterativefit, central, 2, 0.8, 1.6, 40, 60, 0.0825, 0.0975, (0.553219+8.78665*x)
3, iterativefit, central, 2, 0.8, 1.6, 40, 60, 0.0975, 0.1125, (1.52129+-1.14231*x)
3, iterativefit, central, 2, 0.8, 1.6, 40, 60, 0.1125, 0.14, (1.52434+-1.16942*x)
3, iterativefit, central, 2, 0.8, 1.6, 40, 60, 0.14, 0.2, (1.37965+-0.135909*x)
3, iterativefit, central, 2, 0.8, 1.6, 40, 60, 0.2, 0.28, (0.963199+1.94635*x)
3, iterativefit, central, 2, 0.8, 1.6, 40, 60, 0.28, 0.665, (1.45036+0.206492*x)
3, iterativefit, central, 2, 0.8, 1.6, 40, 60, 0.665, 1.1, 1.58767592907
3, iterativefit, central, 2, 1.6, 2.5, 40, 60, -15, 0, 0.0
3, iterativefit, central, 2, 1.6, 2.5, 40, 60, 0, 0.0075, 0.833143889904
3, iterativefit, central, 2, 1.6, 2.5, 40, 60, 0.0075, 0.0225, (0.722961+14.6911*x)
3, iterativefit, central, 2, 1.6, 2.5, 40, 60, 0.0225, 0.0375, (0.961234+4.10115*x)
3, iterativefit, central, 2, 1.6, 2.5, 40, 60, 0.0375, 0.0525, (1.06535+1.32467*x)
3, iterativefit, central, 2, 1.6, 2.5, 40, 60, 0.0525, 0.0675, (0.869977+5.04611*x)
3, iterativefit, central, 2, 1.6, 2.5, 40, 60, 0.0675, 0.0825, (1.19805+0.185712*x)
3, iterativefit, central, 2, 1.6, 2.5, 40, 60, 0.0825, 0.0975, (0.770318+5.37039*x)
3, iterativefit, central, 2, 1.6, 2.5, 40, 60, 0.0975, 0.1125, (1.44258+-1.52462*x)
3, iterativefit, central, 2, 1.6, 2.5, 40, 60, 0.1125, 0.14, (1.3221+-0.453646*x)
3, iterativefit, central, 2, 1.6, 2.5, 40, 60, 0.14, 0.2, (1.07802+1.28975*x)
3, iterativefit, central, 2, 1.6, 2.5, 40, 60, 0.2, 0.28, (1.46428+-0.641532*x)
3, iterativefit, central, 2, 1.6, 2.5, 40, 60, 0.28, 0.665, (1.19598+0.316682*x)
3, iterativefit, central, 2, 1.6, 2.5, 40, 60, 0.665, 1.1, 1.40657126904
3, iterativefit, central, 2, 0.0, 0.8, 60, 10000.0, -15, 0, 0.0
3, iterativefit, central, 2, 0.0, 0.8, 60, 10000.0, 0, 0.0075, 0.87356710434
3, iterativefit, central, 2, 0.0, 0.8, 60, 10000.0, 0.0075, 0.0225, (0.670688+27.0506*x)
3, iterativefit, central, 2, 0.0, 0.8, 60, 10000.0, 0.0225, 0.0375, (1.22692+2.3293*x)
3, iterativefit, central, 2, 0.0, 0.8, 60, 10000.0, 0.0375, 0.0525, (1.28607+0.751766*x)
3, iterativefit, central, 2, 0.0, 0.8, 60, 10000.0, 0.0525, 0.0675, (0.476386+16.1744*x)
3, iterativefit, central, 2, 0.0, 0.8, 60, 10000.0, 0.0675, 0.0825, (2.3216+-11.1621*x)
3, iterativefit, central, 2, 0.0, 0.8, 60, 10000.0, 0.0825, 0.0975, (0.547437+10.3429*x)
3, iterativefit, central, 2, 0.0, 0.8, 60, 10000.0, 0.0975, 0.1125, (1.15393+4.12249*x)
3, iterativefit, central, 2, 0.0, 0.8, 60, 10000.0, 0.1125, 0.14, (1.87184+-2.25892*x)
3, iterativefit, central, 2, 0.0, 0.8, 60, 10000.0, 0.14, 0.2, (1.38604+1.21102*x)
3, iterativefit, central, 2, 0.0, 0.8, 60, 10000.0, 0.2, 0.28, (1.44632+0.909652*x)
3, iterativefit, central, 2, 0.0, 0.8, 60, 10000.0, 0.28, 0.665, (1.36554+1.19814*x)
3, iterativefit, central, 2, 0.0, 0.8, 60, 10000.0, 0.665, 1.1, 2.1623044014
3, iterativefit, central, 2, 0.8, 1.6, 60, 10000.0, -15, 0, 0.0
3, iterativefit, central, 2, 0.8, 1.6, 60, 10000.0, 0, 0.0075, 0.865451574326
3, iterativefit, central, 2, 0.8, 1.6, 60, 10000.0, 0.0075, 0.0225, (0.700359+22.0124*x)
3, iterativefit, central, 2, 0.8, 1.6, 60, 10000.0, 0.0225, 0.0375, (1.00186+8.61234*x)
3, iterativefit, central, 2, 0.8, 1.6, 60, 10000.0, 0.0375, 0.0525, (1.3278+-0.0794808*x)
3, iterativefit, central, 2, 0.8, 1.6, 60, 10000.0, 0.0525, 0.0675, (1.05139+5.18548*x)
3, iterativefit, central, 2, 0.8, 1.6, 60, 10000.0, 0.0675, 0.0825, (0.526077+12.9679*x)
3, iterativefit, central, 2, 0.8, 1.6, 60, 10000.0, 0.0825, 0.0975, (1.96693+-4.49696*x)
3, iterativefit, central, 2, 0.8, 1.6, 60, 10000.0, 0.0975, 0.1125, (2.30234+-7.93701*x)
3, iterativefit, central, 2, 0.8, 1.6, 60, 10000.0, 0.1125, 0.14, (0.633715+6.89518*x)
3, iterativefit, central, 2, 0.8, 1.6, 60, 10000.0, 0.14, 0.2, (1.58266+0.11702*x)
3, iterativefit, central, 2, 0.8, 1.6, 60, 10000.0, 0.2, 0.28, (1.74215+-0.680438*x)
3, iterativefit, central, 2, 0.8, 1.6, 60, 10000.0, 0.28, 0.665, (1.23646+1.1256*x)
3, iterativefit, central, 2, 0.8, 1.6, 60, 10000.0, 0.665, 1.1, 1.98498165607
3, iterativefit, central, 2, 1.6, 2.5, 60, 10000.0, -15, 0, 0.0
3, iterativefit, central, 2, 1.6, 2.5, 60, 10000.0, 0, 0.0075, 0.844452798367
3, iterativefit, central, 2, 1.6, 2.5, 60, 10000.0, 0.0075, 0.0225, (0.707973+18.1973*x)
3, iterativefit, central, 2, 1.6, 2.5, 60, 10000.0, 0.0225, 0.0375, (0.965334+6.75907*x)
3, iterativefit, central, 2, 1.6, 2.5, 60, 10000.0, 0.0375, 0.0525, (0.969389+6.65092*x)
3, iterativefit, central, 2, 1.6, 2.5, 60, 10000.0, 0.0525, 0.0675, (1.56685+-4.72933*x)
3, iterativefit, central, 2, 1.6, 2.5, 60, 10000.0, 0.0675, 0.0825, (1.51693+-3.98974*x)
3, iterativefit, central, 2, 1.6, 2.5, 60, 10000.0, 0.0825, 0.0975, (0.239899+11.4894*x)
3, iterativefit, central, 2, 1.6, 2.5, 60, 10000.0, 0.0975, 0.1125, (0.590218+7.89641*x)
3, iterativefit, central, 2, 1.6, 2.5, 60, 10000.0, 0.1125, 0.14, (1.95941+-4.27416*x)
3, iterativefit, central, 2, 1.6, 2.5, 60, 10000.0, 0.14, 0.2, (1.23953+0.867828*x)
3, iterativefit, central, 2, 1.6, 2.5, 60, 10000.0, 0.2, 0.28, (1.50795+-0.474283*x)
3, iterativefit, central, 2, 1.6, 2.5, 60, 10000.0, 0.28, 0.665, (1.29407+0.28958*x)
3, iterativefit, central, 2, 1.6, 2.5, 60, 10000.0, 0.665, 1.1, 1.4866399765
